accession	annotator_id	csid	date	value	source
Pp1s36_325v6.1	oesterle	329	2012-09-19 21:55:15	bop1 gene for BLADE-ON-PETIOLE protein BOP1	
Pp1s28_209v6.1	oesterle	329	2012-09-19 21:53:56	bop1 gene for BLADE-ON-PETIOLE protein BOP1	
Pp1s66_200V6.1	oesterle	271	2012-09-19 21:00:26	gamyb1 gene for gibberellin MYB transcription factor protein GAMYB1	
Pp1s217_71V6.1	oesterle	268	2012-09-19 20:54:20	adf gene for actin-depolymerizing factor protein ADF	
Pp1s3_119V6.1	lang	324	2012-08-22 11:14:52	xfb2 gene for F-box protein XFB2	
Pp1s12_347V6.2	lang	324	2012-08-22 11:13:33	xfb1 gene for F-box protein XFB1	
Pp1s44_198V6.1	oesterle	294	2012-07-20 20:01:58	afb2 gene for auxin signalling f-box protein AFB2	
Pp1s184_21V6.1	oesterle	294	2012-07-20 19:23:57	iaa1b gene for auxin-responsive protein IAA1B	
Pp1s74_39V6.1	oesterle	270	2011-12-12 15:59:51	aip1 gene for actin-interacting protein 1 AIP1	
Pp1s14_419V6.1	zimmer	265	2011-09-09 15:29:47	ccd8 gene for protein CCD8	
Pp1s31_236V6.1	lang	204	2010-09-28 16:07:25	rad51A gene for eukaryotic recA-homolog recombinase protein RAD51A 	
Pp1s118_9V6.1	symeonidi	242	2010-09-15 15:19:52	sbp1 gene for squamosa promoter-binding protein SBP1	
Pp1s24_104V6.2	cosmoss		2010-09-09 18:48:53	hypothetical protein, conserved [Cyanidioschyzon merolae]	cosmoss|V1.2-5_mapping_Phypa_160611
Pp1s80_72V6.1	rensing	91	2010-09-09 17:19:52	hyh2 gene for putative Hy5 homolog 2 protein HYH2	
Pp1s80_72V6.2	rensing	91	2010-09-09 17:19:52	hyh2 gene for putative Hy5 homolog 2 protein HYH2	
Pp1s80_72V6.3	rensing	91	2010-09-09 17:19:52	hyh2 gene for putative Hy5 homolog 2 protein HYH2	
Pp1s29_82V6.1	rensing	92	2010-09-09 17:01:31	wox2 gene for WOX homeobox transcription factor protein WOX2 (WOXB)	
Pp1s29_82V6.1	rensing	94	2010-09-09 17:01:31	wox2 gene for WOX homeobox transcription factor protein WOX2 (WOXB)	
Pp1s224_106V6.1	rensing	92	2010-09-09 16:58:24	wox1 gene for WOX homeobox transcription factor protein WOX1 (WOXA)	
Pp1s224_106V6.1	rensing	94	2010-09-09 16:58:24	wox1 gene for WOX homeobox transcription factor protein WOX1 (WOXA)	
Pp1s371_25V6.1	lang	69	2010-09-09 16:55:08	fc2.2 gene for putative ferrochelatase protein FC2.2	
Pp1s364_8V6.1	lang	69	2010-09-09 16:54:11	fc2.1 gene for putative ferrochelatase protein FC2.1	
Pp1s138_41V6.1	student	135	2010-09-09 16:51:40	pbp gene for  Penicillin-Binding Protein PBP	
Pp1s38_333V6.1	lang	69	2010-09-09 16:45:59	fc2.3 gene for putative ferrochelatase protein FC2.3	
PhpafMp01	cosmoss		2010-09-08 20:09:45	cytochrome c oxidase subunit 1	gb|NC_007945
PhpafMp02	cosmoss		2010-09-08 20:09:45	group II intron-associated open reading frame	gb|NC_007945
PhpafMp03	cosmoss		2010-09-08 20:09:45	ATPase subunit 4	gb|NC_007945
PhpafMp04	cosmoss		2010-09-08 20:09:45	ATPase subunit 8	gb|NC_007945
PhpafMp05	cosmoss		2010-09-08 20:09:45	ribosomal protein S1	gb|NC_007945
PhpafMp06	cosmoss		2010-09-08 20:09:45	ribosomal protein S2	gb|NC_007945
PhpafMp07	cosmoss		2010-09-08 20:09:45	cytochrome c biogenesis B	gb|NC_007945
PhpafMp08	cosmoss		2010-09-08 20:09:45	cytochrome c biogenesis C	gb|NC_007945
PhpafMp09	cosmoss		2010-09-08 20:09:45	cytochrome c biogenesis factor N	gb|NC_007945
PhpafMp10	cosmoss		2010-09-08 20:09:45	cytochrome c biogenesis factor	gb|NC_007945
PhpafMp11	cosmoss		2010-09-08 20:09:45	Ribosomal protein S4	gb|NC_007945
PhpafMp12	cosmoss		2010-09-08 20:09:45	Sec-independent protein translocase protein	gb|NC_007945
PhpafMp13	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 4L	gb|NC_007945
PhpafMp14	cosmoss		2010-09-08 20:09:45	succinate dehydrogenase subunit 4	gb|NC_007945
PhpafMp15	cosmoss		2010-09-08 20:09:45	succinate dehydrogenase subunit 3	gb|NC_007945
PhpafMp17	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 5	gb|NC_007945
PhpafMp18	cosmoss		2010-09-08 20:09:45	group II intron-associated open reading frame	gb|NC_007945
PhpafMp19	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 4	gb|NC_007945
PhpafMp20	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 2	gb|NC_007945
PhpafMp21	cosmoss		2010-09-08 20:09:45	ribosomal protein S12	gb|NC_007945
PhpafMp22	cosmoss		2010-09-08 20:09:45	ribosomal protein S7	gb|NC_007945
PhpafMp23	cosmoss		2010-09-08 20:09:45	ATP synthase F0 subunit 6	gb|NC_007945
PhpafMp24	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 6	gb|NC_007945
PhpafMp25	cosmoss		2010-09-08 20:09:45	cytochrome oxidase subunit 2	gb|NC_007945
PhpafMp26	cosmoss		2010-09-08 20:09:45	cytochrome oxidase subunit 3	gb|NC_007945
PhpafMp27	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 1	gb|NC_007945
PhpafMp28	cosmoss		2010-09-08 20:09:45	cytochrome b	gb|NC_007945
PhpafMp29	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 9	gb|NC_007945
PhpafMp30	cosmoss		2010-09-08 20:09:45	ATP synthase F1 subunit alpha	gb|NC_007945
PhpafMp31	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 3	gb|NC_007945
PhpafMp32	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase subunit 7	gb|NC_007945
PhpafMp33	cosmoss		2010-09-08 20:09:45	ribosomal protein L2	gb|NC_007945
PhpafMp34	cosmoss		2010-09-08 20:09:45	ribosomal protein S19	gb|NC_007945
PhpafMp35	cosmoss		2010-09-08 20:09:45	ribosomal protein S3	gb|NC_007945
PhpafMp36	cosmoss		2010-09-08 20:09:45	ribosomal protein L16	gb|NC_007945
PhpafMp37	cosmoss		2010-09-08 20:09:45	ribosomal protein L5	gb|NC_007945
PhpafMp38	cosmoss		2010-09-08 20:09:45	ribosomal protein S14	gb|NC_007945
PhpafMp39	cosmoss		2010-09-08 20:09:45	ribosomal protein L6	gb|NC_007945
PhpafMp40	cosmoss		2010-09-08 20:09:45	ribosomal protein S13	gb|NC_007945
PhpafMp41	cosmoss		2010-09-08 20:09:45	ribosomal protein S11	gb|NC_007945
PhpafMp42	cosmoss		2010-09-08 20:09:45	ATP synthase F0 subunit 9	gb|NC_007945
PhpapaCp001	cosmoss		2010-09-08 20:09:45	ribosomal protein S12	gb|NC_005087
PhpapaCp002	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S7	gb|NC_005087
PhpapaCp003	cosmoss		2010-09-08 20:09:45	ND2	gb|NC_005087
PhpapaCp004	cosmoss		2010-09-08 20:09:45	PSII M-protein	gb|NC_005087
PhpapaCp006	cosmoss		2010-09-08 20:09:45	cytochrome b/f complex subunit	gb|NC_005087
PhpapaCp007	cosmoss		2010-09-08 20:09:45	cytochrome b6/f complex subunit 4	gb|NC_005087
PhpapaCp008	cosmoss		2010-09-08 20:09:45	cytochrome b6	gb|NC_005087
PhpapaCp009	cosmoss		2010-09-08 20:09:45	photosystem II reaction center protein H	gb|NC_005087
PhpapaCp010	cosmoss		2010-09-08 20:09:45	photosystem II reaction center N protein	gb|NC_005087
PhpapaCp011	cosmoss		2010-09-08 20:09:45	PSII T-protein	gb|NC_005087
PhpapaCp012	cosmoss		2010-09-08 20:09:45	photosystem II P680 chlorophyll A apoprotein	gb|NC_005087
PhpapaCp013	cosmoss		2010-09-08 20:09:45	ATP-dependent protease proteolytic subunit	gb|NC_005087
PhpapaCp014	cosmoss		2010-09-08 20:09:45	50S ribosomal protein L20	gb|NC_005087
PhpapaCp015	cosmoss		2010-09-08 20:09:45	ribosomal protein S18	gb|NC_005087
PhpapaCp016	cosmoss		2010-09-08 20:09:45	ribosomal protein L33	gb|NC_005087
PhpapaCp017	cosmoss		2010-09-08 20:09:45	PSI J-protein	gb|NC_005087
PhpapaCp018	cosmoss		2010-09-08 20:09:45	cytochrome b6/f complex subunit V	gb|NC_005087
PhpapaCp019	cosmoss		2010-09-08 20:09:45	cytochrome b/f complex 3.5 kD subunit	gb|NC_005087
PhpapaCp020	cosmoss		2010-09-08 20:09:45	cytochrome b559 alpha subunit	gb|NC_005087
PhpapaCp021	cosmoss		2010-09-08 20:09:45	cytochrome b559 beta subunit	gb|NC_005087
PhpapaCp022	cosmoss		2010-09-08 20:09:45	PSII reaction center subunit XII	gb|NC_005087
PhpapaCp023	cosmoss		2010-09-08 20:09:45	photosystem II reaction center subunit X	gb|NC_005087
PhpapaCp026	cosmoss		2010-09-08 20:09:45	apocytochrome f precursor	gb|NC_005087
PhpapaCp027	cosmoss		2010-09-08 20:09:45	heme-binding protein	gb|NC_005087
PhpapaCp028	cosmoss		2010-09-08 20:09:45	photosystem I assembly protein Ycf4	gb|NC_005087
PhpapaCp029	cosmoss		2010-09-08 20:09:45	PSI I-protein	gb|NC_005087
PhpapaCp030	cosmoss		2010-09-08 20:09:45	acetyl-CoA carboxylase beta subunit	gb|NC_005087
PhpapaCp031	cosmoss		2010-09-08 20:09:45	RuBisCO large subunit	gb|NC_005087
PhpapaCp032	cosmoss		2010-09-08 20:09:45	ATPase beta chain	gb|NC_005087
PhpapaCp033	cosmoss		2010-09-08 20:09:45	ATP synthase epsilon chain	gb|NC_005087
PhpapaCp034	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND3 subunit	gb|NC_005087
PhpapaCp035	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase 27 kDa subunit	gb|NC_005087
PhpapaCp036	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase 30 kDa subunit	gb|NC_005087
PhpapaCp037	cosmoss		2010-09-08 20:09:45	ribosomal protein S4	gb|NC_005087
PhpapaCp038	cosmoss		2010-09-08 20:09:45	photosystem I assembly protein Ycf3	gb|NC_005087
PhpapaCp039	cosmoss		2010-09-08 20:09:45	PSI P700 apoprotein A1	gb|NC_005087
PhpapaCp040	cosmoss		2010-09-08 20:09:45	PSI P700 apoprotein A2	gb|NC_005087
PhpapaCp041	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S14	gb|NC_005087
PhpapaCp042	cosmoss		2010-09-08 20:09:45	photosystem II reaction center Z protein	gb|NC_005087
PhpapaCp043	cosmoss		2010-09-08 20:09:45	PSII 43 kDa protein	gb|NC_005087
PhpapaCp044	cosmoss		2010-09-08 20:09:45	PSII D2-protein	gb|NC_005087
PhpapaCp045	cosmoss		2010-09-08 20:09:45	Ycf2	gb|NC_005087
PhpapaCp046	cosmoss		2010-09-08 20:09:45	PSII D1-protein	gb|NC_005087
PhpapaCp047	cosmoss		2010-09-08 20:09:45	maturase	gb|NC_005087
PhpapaCp048	cosmoss		2010-09-08 20:09:45	light-independent protochlorophyllide reductase subunit B	gb|NC_005087
PhpapaCp049	cosmoss		2010-09-08 20:09:45	PSII K protein	gb|NC_005087
PhpapaCp050	cosmoss		2010-09-08 20:09:45	PSII I-protein	gb|NC_005087
PhpapaCp051	cosmoss		2010-09-08 20:09:45	PSI M-protein	gb|NC_005087
PhpapaCp052	cosmoss		2010-09-08 20:09:45	Ycf12	gb|NC_005087
PhpapaCp053	cosmoss		2010-09-08 20:09:45	ATP synthase CF1 alpha chain	gb|NC_005087
PhpapaCp054	cosmoss		2010-09-08 20:09:45	ATPase subunit I	gb|NC_005087
PhpapaCp055	cosmoss		2010-09-08 20:09:45	ATPase III subunit	gb|NC_005087
PhpapaCp056	cosmoss		2010-09-08 20:09:45	ATPase IV subunit	gb|NC_005087
PhpapaCp057	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S2	gb|NC_005087
PhpapaCp058	cosmoss		2010-09-08 20:09:45	RNA polymerase beta'' chain	gb|NC_005087
PhpapaCp059	cosmoss		2010-09-08 20:09:45	RNA polymerase beta' chain	gb|NC_005087
PhpapaCp060	cosmoss		2010-09-08 20:09:45	RNA polymerase beta chain	gb|NC_005087
PhpapaCp061	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S11	gb|NC_005087
PhpapaCp062	cosmoss		2010-09-08 20:09:45	50S ribosomal protein L36	gb|NC_005087
PhpapaCp063	cosmoss		2010-09-08 20:09:45	translation initiation factor 1	gb|NC_005087
PhpapaCp064	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S8	gb|NC_005087
PhpapaCp065	cosmoss		2010-09-08 20:09:45	50S ribosomal protein L14	gb|NC_005087
PhpapaCp066	cosmoss		2010-09-08 20:09:45	ribosomal protein L16	gb|NC_005087
PhpapaCp067	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S3	gb|NC_005087
PhpapaCp068	cosmoss		2010-09-08 20:09:45	ribosomal protein L22	gb|NC_005087
PhpapaCp069	cosmoss		2010-09-08 20:09:45	30S ribosomal protein S19	gb|NC_005087
PhpapaCp070	cosmoss		2010-09-08 20:09:45	50S ribosomal protein L2	gb|NC_005087
PhpapaCp071	cosmoss		2010-09-08 20:09:45	ribosomal protein L23	gb|NC_005087
PhpapaCp072	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND5 subunit	gb|NC_005087
PhpapaCp073	cosmoss		2010-09-08 20:09:45	50S ribosomal protein L21	gb|NC_005087
PhpapaCp074	cosmoss		2010-09-08 20:09:45	ribosomal protein L32	gb|NC_005087
PhpapaCp075	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND4 subunit	gb|NC_005087
PhpapaCp076	cosmoss		2010-09-08 20:09:45	photosystem I iron-sulfur center	gb|NC_005087
PhpapaCp077	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND4L subunit	gb|NC_005087
PhpapaCp078	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND6 subunit	gb|NC_005087
PhpapaCp079	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase 18 kDa subunit	gb|NC_005087
PhpapaCp080	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase ND1 subunit	gb|NC_005087
PhpapaCp081	cosmoss		2010-09-08 20:09:45	NADH dehydrogenase 49 kDa subunit	gb|NC_005087
PhpapaCp082	cosmoss		2010-09-08 20:09:45	ribosomal protein S15	gb|NC_005087
PhpapaCp084	cosmoss		2010-09-08 20:09:45	light-independent protochlorophyllide reductase subunit N	gb|NC_005087
PhpapaCp085	cosmoss		2010-09-08 20:09:45	light-independent protochlorophyllide reductase iron-sulfer ATP-binding protein	gb|NC_005087
Pp1s495_5V6.1	student	209	2010-08-31 18:57:14	rdr6 gene for RNA-dependent RNA polymerase protein RDR6	cosmoss|V1.2-5_mapping_Phypa_461206
