accession	annotator_id	csid	date	value	source
Pp1s55_253V6.1	zimmer	371	2012-10-02 16:23:53	DBF1	
Pp1s30_96V6.1	oesterle	313	2012-09-30 20:51:54	Mis12	
Pp1s131_18V6.1	oesterle	313	2012-09-30 20:51:06	XMAP215b	
Pp1s66_170V6.1	oesterle	313	2012-09-30 20:50:20	XMAP215a	
Pp1s381_21V6.1	oesterle	207	2012-09-30 20:49:22	ACT5	
Pp1s266_15V6.1	oesterle	313	2012-09-30 20:40:10	TubG2	
Pp1s234_17V6.1	oesterle	313	2012-09-30 20:39:37	TubG1	
Pp1s9_108V6.1	oesterle	313	2012-09-30 20:34:29	Aug3	
Pp1s115_6V6.1	oesterle	370	2012-09-30 20:31:07	CDC48II	
Pp1s66_43V6.1	oesterle	368	2012-09-30 20:26:04	TEL1	
Pp1s19_109V6.1	oesterle	367	2012-09-30 20:24:08	SHI2	
Pp1s373_11V6.1	oesterle	367	2012-09-30 00:01:01	SHI1	
Pp1s59_55V6.2	oesterle	116	2012-09-29 23:58:08	DCL1b	
Pp1s30_297V6.1	oesterle	116	2012-09-29 23:57:00	DCL1a	
Pp1s74_177V6.1	oesterle	72	2012-09-29 23:55:09	FtsZ3	
Pp1s74_177V6.1	oesterle	366	2012-09-29 23:55:09	FtsZ3	
Pp1s109_52V6.1	oesterle	366	2012-09-29 23:54:11	FtsZ1-2	
Pp1s87_184V6.1	oesterle	366	2012-09-29 23:53:28	FtsZ2-2	
Pp1s174_20V6.2	oesterle	261	2012-09-29 23:50:09	MurA1	
Pp1s319_5V6.1	oesterle	364	2012-09-29 23:47:42	BP	
Pp1s13_282V6.1	oesterle	363	2012-09-29 23:47:02	FOR2B	
Pp1s246_71V6.1	oesterle	363	2012-09-29 23:46:26	FOR2A	
Pp1s159_112V6.1	oesterle	363	2012-09-29 23:45:51	FOR3	
Pp1s344_11V6.1	oesterle	363	2012-09-29 23:45:18	FOR1F	
Pp1s71_197V6.1	oesterle	363	2012-09-29 23:44:29	FOR1E	
Pp1s17_57V6.1	oesterle	363	2012-09-29 23:43:52	FOR1D	
Pp1s156_136V6.1	oesterle	363	2012-09-29 23:43:08	FOR1C	
Pp1s122_159V6.1	oesterle	363	2012-09-29 23:41:24	FOR1B	
Pp1s122_164V6.1	oesterle	363	2012-09-29 23:40:40	FOR1A	
Pp1s100_24V6.1	oesterle	360	2012-09-29 23:38:01	PDV2-1	
Pp1s219_8V6.1	oesterle	359	2012-09-29 23:34:33	Prx34B	
Pp1s219_6V6.1	oesterle	359	2012-09-29 23:33:43	Prx34A	
Pp1s311_75V6.1	oesterle	357	2012-09-29 23:32:00	ABI1A	
Pp1s311_75V6.1	oesterle	358	2012-09-29 23:32:00	ABI1A	
Pp1s235_27V6.1	oesterle	235	2012-09-29 23:28:23	MKN5	
Pp1s55_301V6.4	oesterle	117	2012-09-29 23:24:45	PIP2.2	
