Gene	pd_id
Pp1s10008_1V6.1	PHYPADRAFT_104242
Pp1s10015_1V6.1	PHYPADRAFT_104244
Pp1s10083_1V6.1	PHYPADRAFT_104246
Pp1s100_107V6.1	PHYPADRAFT_165954
Pp1s100_108V6.1	PHYPADRAFT_132997
Pp1s100_110V6.1	PHYPADRAFT_58339
Pp1s100_112V6.1	PHYPADRAFT_165961
Pp1s100_112V6.2	PHYPADRAFT_165961
Pp1s100_113V6.1	PHYPADRAFT_82047
Pp1s100_116V6.1	PHYPADRAFT_165962
Pp1s100_117V6.1	PHYPADRAFT_214369
Pp1s100_117V6.2	PHYPADRAFT_214369
Pp1s100_118V6.1	PHYPADRAFT_133099
Pp1s100_118V6.2	PHYPADRAFT_133099
Pp1s100_119V6.1	PHYPADRAFT_165966
Pp1s100_119V6.2	PHYPADRAFT_165966
Pp1s100_120V6.1	PHYPADRAFT_133013
Pp1s100_121V6.1	PHYPADRAFT_133077
Pp1s100_124V6.1	PHYPADRAFT_106810
Pp1s100_125V6.1	PHYPADRAFT_133073
Pp1s100_130V6.1	PHYPADRAFT_82059
Pp1s100_132V6.1	PHYPADRAFT_82060
Pp1s100_133V6.1	PHYPADRAFT_82060
Pp1s100_134V6.1	PHYPADRAFT_132989
Pp1s100_136V6.1	PHYPADRAFT_187030
Pp1s100_137V6.1	PHYPADRAFT_133072
Pp1s100_139V6.1	PHYPADRAFT_82064
Pp1s100_141V6.1	PHYPADRAFT_165973
Pp1s100_144V6.1	PHYPADRAFT_49839
Pp1s100_145V6.1	PHYPADRAFT_133008
Pp1s100_147V6.1	PHYPADRAFT_165977
Pp1s100_147V6.2	PHYPADRAFT_165977
Pp1s100_149V6.1	PHYPADRAFT_132984
Pp1s100_14V6.1	PHYPADRAFT_81998
Pp1s100_150V6.1	PHYPADRAFT_82072
Pp1s100_157V6.1	PHYPADRAFT_82074
Pp1s100_161V6.1	PHYPADRAFT_133067
Pp1s100_162V6.1	PHYPADRAFT_165978
Pp1s100_167V6.1	PHYPADRAFT_82079
Pp1s100_188V6.1	PHYPADRAFT_133033
Pp1s100_190V6.1	PHYPADRAFT_214387
Pp1s100_191V6.1	PHYPADRAFT_133026
Pp1s100_192V6.1	PHYPADRAFT_58346
Pp1s100_193V6.1	PHYPADRAFT_82098
