Gene	F163	F164	F165	F166	F167	F168	F169
sp|P34915|RBL_PHYPA	85.844	24.987	26.603	41.106	49.46	49.46	36.321
sp|P80658|ATPB_PHYPA	98.237	37.175	44.664	37.175	34.962	27.322	32.878
sp|Q6YXK3|ATPA_PHYPA	78.554	41.224	30.661	25.638	34.525	20.157	27.217
Pp1s199_130V6.2 (+1)	115.39	51.675	55.273	72.295	123.34	67.609	107.95
Pp1s52_157V6.1	62.136	44.113	77.993	35.057	55.444	44.113	44.113
Pp1s421_3V6.1	69.402	43.336	39.42	39.42	35.849	39.42	52.345
Pp1s419_7V6.1 (+1)	11.707	8.32	9.2284	13.838	14.787	9.2284	9.2284
sp|Q6YXM8|PSBB_PHYPA	6.1349	3.8162	7.9313	2.4389	3.8162	2.6374	2.6374
Pp1s11_39V6.1 (+1)	188.66	81.85	71.169	81.85	108.19	94.113	164.21
Pp1s19_13V6.1 (+1)	53.734	42.821	67.364	38.21	42.821	47.975	34.085
Pp1s147_106V6.1 (+2)	12.665	9.0099	12.665	13.543	15.472	11.065	14.477
Pp1s472_14V6.1 (+1)	22.32	10.71	18.154	9.6121	10.71	9.6121	8.6174
Pp1s6_312V6.1 (+1)	52.353	16.873	23.084	11.008	9.8717	16.873	15.181
Pp1s419_6V6.1	7.4473	3.7335	2.7091	4.1867	5.2277	3.4535	4.1867
Pp1s312_46V6.1	64.525	29.202	24.868	40.17	47.068	40.17	55.122
Pp1s135_21V6.1 (+2)	24.464	14.214	13.135	17.972	22.657	15.376	22.657
Pp1s459_2V6.1 (+1)	137.48	20.796	46.094	46.094	53.94	46.094	53.94
Pp1s40_17V6.1	30.058	16.924	11.712	15.733	18.198	13.585	11.712
Pp1s254_25V6.1	16.741	9.3464	7.6443	11.384	13.822	11.384	9.3464
Pp1s254_3V6.1	15.402	13.894	15.402	11.281	8.1947	5.8843	12.524
Pp1s475_27V6.2	30.631	19.158	17.7	20.73	33.098	26.22	30.631
Pp1s156_30V6.1	9.0812	6.1589	5.2964	4.5379	4.78	3.2839	4.0837
Pp1s44_78V6.1	7.4079	6.1148	4.5383	3.4949	4.7744	3.3111	4.5383
Pp1s212_44V6.1	3.2784	2.0294	2.2577	2.633	2.8365	2.6996	3.4367
Pp1s201_82V6.1 (+2)	17.901	8.3594	11.882	11.882	16.731	11.085	10.337
sp|Q6YXL3|CYF_PHYPA	22.043	9.2842	11.304	10.249	8.4025	6.8593	8.4025
Pp1s75_141V6.1	19.593	17.41	13.715	17.41	15.459	13.715	15.459
Pp1s77_69V6.1	87.296	27.804	32.133	49.431	24.041	32.133	20.769
Pp1s264_55V6.1	29.614	10.518	14.443	17.778	29.614	26.763	24.178
Pp1s509_22V6.2	4.3608	3.5193	3.033	2.9199	2.8099	2.9199	2.2118
Pp1s425_20V6.2	3.8017	3.0587	3.54	3.2926	3.8017	2.067	2.2437
Pp1s28_315V6.1 (+1)	19.356	3.2668	5.6679	2.0528	2.4132	2.4132	3.2668
Pp1s72_25V6.1	6.2403	4.0699	4.0699	5.4294	6.837	5.1799	6.2403
Pp1s120_139V6.1 (+3)	11.022	6.3907	6.8012	3.3043	4.9535	3.7958	5.6333
Pp1s120_164V6.1	4.7365	3.3446	3.7037	4.5132	6.2795	3.8942	5.7238
