Gene	PN	PP	Total
sp|P34915|RBL_PHYPA	2230	2867	5097
sp|P80658|ATPB_PHYPA	1948	1324	3272
sp|Q6YXK3|ATPA_PHYPA	1439	971	2410
Pp1s199_130V6.2	1053	1136	2189
Pp1s52_157V6.1	1141	973	2114
Pp1s421_3V6.1	819	723	1542
Pp1s419_7V6.1	694	755	1449
Pp1s11_39V6.1	781	622	1403
sp|Q6YXM8|PSBB_PHYPA	1041	322	1363
Pp1s19_13V6.1	747	547	1294
Pp1s147_106V6.1	548	699	1247
Pp1s472_14V6.1	685	502	1187
Pp1s6_312V6.1	612	547	1159
Pp1s312_46V6.1	427	639	1066
Pp1s459_2V6.1	430	635	1065
Pp1s135_21V6.1	458	594	1052
Pp1s419_6V6.1	521	515	1036
Pp1s254_25V6.1	494	535	1029
Pp1s40_17V6.1	486	495	981
Pp1s475_27V6.2	399	556	955
Pp1s254_3V6.1	565	375	940
Pp1s156_30V6.1	564	344	908
Pp1s212_44V6.1	377	496	873
Pp1s201_82V6.1	378	486	864
Pp1s75_141V6.1	460	401	861
sp|Q6YXL3|CYF_PHYPA	545	310	855
Pp1s44_78V6.1	519	332	851
Pp1s509_22V6.2	460	334	794
Pp1s264_55V6.1	313	478	791
Pp1s77_69V6.1	444	329	773
Pp1s72_25V6.1	314	426	740
Pp1s425_20V6.2	438	280	718
Pp1s132_175V6.1	297	415	712
Pp1s120_139V6.1	407	293	700
Pp1s120_164V6.1	288	408	696
Pp1s71_283V6.1	329	364	693
sp|Q6YXN9|PSBC_PHYPA	522	157	679
Pp1s60_65V6.1	352	324	676
Pp1s28_315V6.1	489	180	669
Pp1s252_87V6.1	342	277	619
Pp1s255_55V6.1	323	290	613
Pp1s153_146V6.1	257	334	591
Pp1s287_61V6.2	350	228	578
Pp1s21_407V6.1	336	234	570
Pp1s118_166V6.1	342	224	566
Pp1s16_322V6.1	238	315	553
Pp1s352_4V6.1	235	313	548
Pp1s276_75V6.1	245	300	545
Pp1s131_154V6.1	220	321	541
Pp1s424_33V6.1	385	150	535
Pp1s154_69V6.1	284	248	532
Pp1s256_10V6.1	252	273	525
Pp1s135_79V6.1	269	253	522
Pp1s181_107V6.1	215	297	512
Pp1s89_62V6.1	274	236	510
Pp1s32_1V6.1	304	199	503
Pp1s76_196V6.1	283	206	489
Pp1s15_499V6.1	195	287	482
Pp1s28_304V6.1	294	183	477
sp|Q8MFA2|PSAB_PHYPA	394	78	472
Pp1s3_520V6.1	217	251	468
Pp1s195_41V6.1	196	266	462
Pp1s55_140V6.1	188	270	458
Pp1s258_44V6.2	234	223	457
Pp1s17_59V6.1	195	257	452
Pp1s146_112V6.1	222	228	450
sp|Q8MFA3|PSAA_PHYPA	345	101	446
Pp1s27_97V6.1	241	199	440
sp|Q6YXN8|PSBD_PHYPA	318	116	434
Pp1s214_87V6.1	233	183	416
Pp1s290_40V6.1	161	255	416
Pp1s38_238V6.1	199	217	416
tr|Q6YXN7|Q6YXN7_PHYPA	308	102	410
tr|Q1XGA4|Q1XGA4_PHYPA	246	162	408
Pp1s267_30V6.2	176	231	407
Pp1s41_281V6.1	178	225	403
Pp1s309_84V6.1	185	207	392
Pp1s64_210V6.1	235	145	380
Pp1s41_162V6.1	136	243	379
Pp1s25_66V6.2	184	191	375
Pp1s351_30V6.1	203	172	375
Pp1s74_243V6.1	174	201	375
Pp1s43_80V6.1	186	170	356
Pp1s24_39V6.1	216	139	355
sp|Q6YXQ2|PSAC_PHYPA	192	161	353
Pp1s160_137V6.1	198	153	351
Pp1s21_270V6.1	169	174	343
Pp1s211_59V6.1	171	170	341
Pp1s239_18V6.1	240	92	332
Pp1s18_23V6.1	162	168	330
Pp1s13_200V6.1	168	158	326
Pp1s164_93V6.1	183	143	326
Pp1s182_26V6.1	156	170	326
Pp1s345_25V6.1	222	94	316
Pp1s306_84V6.1	161	152	313
Pp1s32_313V6.1	136	174	310
Pp1s343_26V6.1	171	138	309
Pp1s213_9V6.1	144	160	304
Pp1s264_65V6.1	119	184	303
Pp1s407_2V6.1	123	180	303
Pp1s54_66V6.2	118	183	301
Pp1s5_83V6.2	133	166	299
Pp1s12_231V6.1	131	167	298
Pp1s26_26V6.1	146	151	297
Pp1s348_22V6.1	148	147	295
Pp1s109_241V6.10	117	176	293
Pp1s79_140V6.1	148	143	291
Pp1s201_89V6.1	128	162	290
Pp1s213_80V6.1	195	93	288
Pp1s61_255V6.1	119	166	285
Pp1s68_202V6.1	138	147	285
Pp1s11_357V6.2	126	158	284
Pp1s72_301V6.1	146	130	276
Pp1s20_373V6.1	104	171	275
Pp1s30_255V6.2	129	143	272
Pp1s8_70V6.1	141	127	268
Pp1s123_97V6.1	165	98	263
Pp1s223_16V6.1	104	156	260
Pp1s23_50V6.1	96	162	258
Pp1s343_21V6.1	87	168	255
Pp1s206_11V6.1	102	148	250
Pp1s35_78V6.1	130	120	250
Pp1s143_176V6.1	101	148	249
Pp1s141_8V6.1	137	110	247
Pp1s33_389V6.1	111	132	243
Pp1s131_153V6.1	95	147	242
Pp1s15_292V6.1	101	141	242
Pp1s161_32V6.1	180	62	242
Pp1s201_6V6.1	100	142	242
Pp1s14_358V6.1	175	66	241
Pp1s16_358V6.1	98	142	240
Pp1s51_315V6.1	99	139	238
Pp1s91_92V6.1	99	138	237
Pp1s99_95V6.1	133	101	234
Pp1s1_461V6.1	104	129	233
Pp1s199_145V6.1	108	123	231
Pp1s334_17V6.1	123	105	228
Pp1s241_33V6.1	121	106	227
Pp1s196_10V6.1	106	118	224
Pp1s65_130V6.1	108	115	223
Pp1s161_120V6.1	113	107	220
Pp1s263_36V6.1	84	136	220
Pp1s355_13V6.1	106	114	220
Pp1s10_341V6.1	105	114	219
Pp1s230_36V6.1	102	117	219
Pp1s2_62V6.1	136	81	217
Pp1s27_130V6.1	106	111	217
Pp1s66_184V6.1	97	120	217
Pp1s30_39V6.1	105	108	213
Pp1s12_379V6.1	132	77	209
Pp1s277_10V6.3	103	106	209
Pp1s28_168V6.2	108	101	209
Pp1s119_57V6.1	108	98	206
Pp1s270_57V6.1	126	78	204
Pp1s336_22V6.1	110	93	203
Pp1s72_282V6.1	76	126	202
Pp1s123_144V6.1	73	128	201
Pp1s241_86V6.1	121	80	201
Pp1s97_279V6.1	184	17	201
Pp1s59_188V6.1	175	25	200
Pp1s88_62V6.1	82	117	199
