n	ProteinName	nprec	PNtoPP_1.fc
4	Pp1s163_57V6.1	1	10.2698283134
5	Pp1s66_172V6.1	2	7.715450219
8	Pp1s270_50V6.1	1	4.8434464849
10	Pp1s263_35V6.1	1	4.5389851434
11	Pp1s116_33V6.1	1	0.2444770571
12	Pp1s69_154V6.1	1	0.2537547255
13	Pp1s145_122V6.1	3	3.91938155
14	Pp1s41_264V6.1	2	3.9110137218
15	Pp1s43_120V6.1	3	3.6967336388
17	Pp1s134_68V6.1	2	3.1475632299
19	Pp1s201_6V6.1	2	0.3325282104
21	Pp1s104_98V6.1	2	2.9713927958
22	Pp1s159_143V6.1	2	0.3485269836
24	Pp1s28_391V6.1	1	2.8490684812
25	Pp1s16_27V6.1	2	2.8212282919
26	Pp1s103_66V6.1	1	0.3556054215
27	Pp1s307_65V6.1	1	0.3590298202
29	Pp1s199_33V6.1	1	0.3647677903
30	Pp1s319_36V6.1	1	2.730087633
31	Pp1s13_392V6.1	2	2.7185202067
32	Pp1s39_428V6.1	2	0.3695829335
33	Pp1s14_358V6.1	3	2.6485147192
35	Pp1s38_300V6.1	3	0.3823153038
36	Pp1s137_140V6.1	1	0.3827018738
37	Pp1s156_45V6.1	1	2.5981334541
39	Pp1s76_196V6.1	1	2.5775352415
40	Pp1s30_345V6.1	1	0.3899012623
41	Pp1s257_45V6.1	4	0.3919206119
42	Pp1s255_17V6.1	2	2.5100620892
44	Pp1s8_193V6.1	1	0.4022418089
45	Pp1s31_253V6.1	1	2.4505085307
48	Pp1s68_222V6.1	3	2.3714872976
49	Pp1s214_32V6.1	3	0.4264786468
51	Pp1s131_184V6.1	3	2.3089389362
53	Pp1s15_267V6.1	3	2.2601596719
54	Pp1s4_321V6.1	1	2.2583266256
55	Pp1s19_202V6.1	1	2.2578844431
56	Pp1s247_41V6.1	1	0.4467395316
57	Pp1s21_270V6.1	3	0.4471723509
58	Pp1s339_66V6.1	1	2.2250421364
59	Pp1s12_401V6.1	3	0.4531271834
61	Pp1s116_53V6.1	3	0.4592107754
62	Pp1s9_238V6.1	1	2.1531072522
64	Pp1s270_57V6.1	3	2.1313593071
65	Pp1s42_208V6.1	3	2.1179178623
66	Pp1s53_229V6.2	1	2.1178627295
67	Pp1s66_107V6.1	3	2.0992737009
69	Pp1s118_166V6.1	4	2.0797003688
70	Pp1s254_3V6.1	1	2.0773629296
71	Pp1s424_33V6.1	4	2.0648077358
72	Pp1s252_28V6.1	1	2.0647826206
73	Pp1s131_104V6.1	3	2.0437539456
74	Pp1s89_87V6.1	1	2.0392888599
75	Pp1s628_7V6.1	3	2.035331276
76	Pp1s336_22V6.1	2	2.0319257462
77	Pp1s13_200V6.1	2	2.0136358359
78	Pp1s200_69V6.1	1	0.4993053456
79	Pp1s91_92V6.1	3	0.4993527517
82	Pp1s79_93V6.1	1	1.9758173947
85	Pp1s230_42V6.1	3	1.9454903373
86	Pp1s69_133V6.1	1	1.9357513345
87	Pp1s52_157V6.1	6	1.9322399696
88	Pp1s276_86V6.1	3	0.518286048
89	Pp1s186_83V6.1	2	0.5195999637
90	Pp1s1_534V6.1	1	1.9193754819
91	Pp1s6_239V6.1	1	1.9158118336
92	Pp1s132_175V6.1	3	0.5222506848
93	Pp1s24_39V6.1	1	1.9125933433
94	Pp1s27_97V6.1	3	1.9083290398
95	Pp1s120_21V6.1	4	0.5247026677
96	Pp1s332_33V6.1	2	0.5248861269
97	Pp1s251_36V6.2	1	1.8820244523
99	Pp1s24_254V6.1	1	0.5342529612
101	Pp1s303_24V6.1	3	1.867439164
103	Pp1s35_234V6.1	4	1.8632172552
104	Pp1s334_17V6.1	2	1.8595565176
105	Pp1s156_30V6.1	3	1.840070106
106	Pp1s64_210V6.1	4	1.8372963722
107	Pp1s72_281V6.1	1	1.8360876582
108	Pp1s272_58V6.1	1	0.5446587196
109	Pp1s33_311V6.1	1	0.5452363005
110	Pp1s198_147V6.1	4	1.8146496122
111	Pp1s102_181V6.1	2	0.5515149988
112	Pp1s41_281V6.1	4	0.5531916643
113	Pp1s120_164V6.1	1	0.5545897738
114	Pp1s228_3V6.1	4	0.5595783398
115	Pp1s123_97V6.1	4	1.7865232798
116	Pp1s66_233V6.1	2	1.7795211878
117	Pp1s156_109V6.1	2	1.7786497275
118	Pp1s93_161V6.1	1	0.5622889415
119	Pp1s13_430V6.1	3	1.7753917333
120	Pp1s372_19V6.1	2	0.5633852703
121	Pp1s15_317V6.1	1	1.7724097945
122	Pp1s25_204V6.1	2	1.7619974722
124	Pp1s44_78V6.1	3	1.7507386189
125	Pp1s16_358V6.1	3	0.5715199315
126	Pp1s25_21V6.1	3	1.7429842342
129	Pp1s123_43V6.1	4	1.7351157141
130	Pp1s91_16V6.1	4	1.726355527
131	Pp1s343_26V6.1	3	1.7239188027
132	Pp1s295_55V6.1	2	1.7238995905
133	Pp1s218_93V6.1	1	0.5801400361
134	Pp1s11_340V6.1	1	1.7194765186
135	Pp1s215_83V6.2	1	1.713602981
136	Pp1s1_461V6.1	5	0.5859929462
137	Pp1s52_248V6.1	1	0.5866800018
138	Pp1s372_16V6.1	2	1.704129502
139	Pp1s284_6V6.1	2	1.7004908815
140	Pp1s347_30V6.1	2	1.6763230984
141	Pp1s135_79V6.1	2	1.6738773418
142	Pp1s20_284V6.1	3	1.6710191914
143	Pp1s85_96V6.2	3	0.5997819488
144	Pp1s72_197V6.1	2	1.6655906442
145	Pp1s68_123V6.1	2	0.6006703078
146	Pp1s188_39V6.1	3	0.6008416405
149	Pp1s60_65V6.1	4	1.6535894728
150	Pp1s4_490V6.1	4	1.6495026731
151	Pp1s33_280V6.1	1	0.6065993707
152	Pp1s227_66V6.1	3	0.6069179847
153	Pp1s5_404V6.1	1	1.647144081
155	Pp1s33_144V6.1	1	0.6097893672
156	Pp1s245_2V6.1	3	0.6117252624
157	Pp1s352_4V6.1	3	0.6123293893
158	Pp1s198_60V6.1	1	0.6125332119
159	Pp1s196_10V6.1	1	0.6127693192
160	Pp1s38_198V6.1	1	0.6151846223
161	Pp1s241_32V6.1	2	0.6158227117
162	Pp1s407_2V6.1	3	0.6177783057
163	Pp1s140_7V6.1	2	1.6161785231
164	Pp1s373_37V6.1	3	1.6108679289
165	Pp1s159_2V6.1	2	1.6069618231
166	Pp1s71_244V6.2	3	1.6006866138
168	Pp1s81_54V6.1	1	0.6260804699
171	Pp1s268_67V6.1	3	0.6280259041
173	Pp1s212_44V6.1	4	0.6312286622
174	Pp1s252_87V6.1	1	0.6312347586
175	Pp1s93_26V6.1	2	1.5791865629
179	Pp1s199_101V6.1	2	0.6356760928
180	Pp1s94_133V6.1	1	1.5728121002
181	Pp1s53_123V6.1	2	0.6364134102
182	Pp1s54_165V6.1	1	1.570951324
183	Pp1s354_15V6.1	1	0.636884413
184	Pp1s41_162V6.1	3	0.6371320488
185	Pp1s34_178V6.1	1	0.637431574
188	Pp1s10_393V6.1	4	0.6410308569
190	Pp1s54_291V6.1	1	1.5561687989
191	Pp1s12_371V6.2	1	0.6436900757
192	Pp1s343_21V6.1	3	0.6437640286
193	Pp1s43_48V6.1	3	0.6455776904
194	Pp1s204_121V6.1	4	1.5429543486
195	Pp1s60_169V6.1	1	0.6498805878
196	Pp1s25_170V6.1	1	0.6503597511
197	Pp1s85_113V6.1	3	1.5365078766
198	Pp1s76_97V6.1	3	0.6512429886
199	Pp1s367_8V6.1	1	0.6514299349
200	Pp1s287_61V6.2	5	1.5334417486
201	Pp1s331_37V6.1	2	0.6521616917
202	Pp1s160_79V6.1	2	1.529738774
203	Pp1s197_46V6.1	2	1.527605286
204	Pp1s79_92V6.1	1	1.5267455907
205	Pp1s79_167V6.1	1	1.5264196392
207	Pp1s164_93V6.1	3	1.5187521423
208	Pp1s4_75V6.1	2	0.6585869438
210	Pp1s137_78V6.1	1	0.6625294105
211	Pp1s160_127V6.1	2	1.5092976434
212	Pp1s3_343V6.1	4	0.664180169
213	Pp1s79_140V6.1	3	1.505053906
214	Pp1s31_124V6.1	1	0.665524614
216	Pp1s97_166V6.1	1	0.666409182
217	Pp1s136_198V6.1	4	0.6668609721
218	Pp1s227_133V6.1	4	1.4985470442
221	Pp1s88_182V6.1	2	1.492906724
222	Pp1s28_304V6.1	4	1.4913974075
223	Pp1s171_150V6.1	2	0.6724816594
224	Pp1s50_50V6.1	3	0.6736366389
225	Pp1s169_50V6.1	3	0.675168349
226	Pp1s268_34V6.1	1	1.4802891921
227	Pp1s414_8V6.1	1	0.676043867
228	Pp1s39_367V6.1	2	1.4764385694
230	Pp1s17_101V6.1	3	0.6782727576
231	Pp1s69_146V6.1	2	1.4722945597
232	Pp1s58_251V6.1	4	0.6792285407
234	Pp1s46_326V6.1	1	0.6816273419
235	Pp1s295_46V6.1	3	0.6822128076
236	Pp1s28_268V6.1	1	0.6826789797
237	Pp1s161_120V6.1	4	1.4626073254
238	Pp1s86_156V6.1	2	0.688883363
239	Pp1s33_287V6.1	3	1.4507163411
240	Pp1s72_282V6.1	3	0.6894854772
241	Pp1s160_136V6.1	1	0.6896611995
242	Pp1s1_765V6.1	1	1.4477954362
243	Pp1s123_144V6.1	3	0.6908006612
244	Pp1s260_4V6.1	1	0.691549163
245	Pp1s4_80V6.1	1	0.6925826675
246	Pp1s169_113V6.1	1	1.4415439967
247	Pp1s372_25V6.1	3	1.4386336562
248	Pp1s59_356V6.1	2	0.6956855622
250	Pp1s421_3V6.1	4	1.4315307713
251	Pp1s197_56V6.2	1	0.6988396998
252	Pp1s23_50V6.1	3	0.6990507002
253	Pp1s72_301V6.1	3	1.4298382388
254	Pp1s14_298V6.1	4	0.6999281541
255	Pp1s185_119V6.1	3	0.7010175013
256	Pp1s122_165V6.1	1	1.4257820398
257	Pp1s133_65V6.1	1	1.4244013289
258	Pp1s270_28V6.1	1	0.7029040427
259	Pp1s99_201V6.1	2	0.7030877955
261	Pp1s223_50V6.1	3	1.4174073704
262	Pp1s93_165V6.1	2	1.4173650819
263	Pp1s16_378V6.1	1	1.4163669747
264	Pp1s9_141V6.1	1	0.7072473768
265	Pp1s351_30V6.1	4	1.4130723525
266	Pp1s12_40V6.1	4	0.7079039632
267	Pp1s191_84V6.1	1	0.7082223842
