protein_id	F163	F164	F165	F166	F167	F168	F169	pep_num
Pp1s100_61V6.1	70265.9427681172	86067.4891421891	41023.6686295045	157393.284857064	97234.9520249687	91460.6894118385	37780.5734379178	1
Pp1s101_184V6.1	2643342.0319944	2554997.58742371	2693372.10841554	2373121.06638795	2370859.70507647	3206502.5426609	3180971.38758778	2
Pp1s101_240V6.1	196380.934357347	220227.256617057	236237.810734258	117589.271063401	137918.748850589	196460.629584387	164917.912665832	1
Pp1s101_241V6.1	356506.389756213	409986.503596015	530899.884263573	242224.369895662	303376.011111885	441669.382735483	302915.189579809	2
Pp1s102_181V6.1	1075698.87699245	1050702.18837549	975655.137385243	1151447.89412568	1272109.07396108	1979239.6660202	2093667.07742529	2
Pp1s103_66V6.1	154167.612973062	410331.210798142	278180.666298227	313681.555032273	501165.501069505	1432335.3093625	481683.684412413	1
Pp1s104_98V6.1	205135.463549737	203073.160860544	274660.443236849	58744.1726869633	51528.0310012677	63153.0033629069	92572.498946794	2
Pp1s109_90V6.1	314629.080099907	246031.760186883	309101.578248231	113027.918735742	100945.160876593	189054.670179938	171613.143389315	1
Pp1s10_194V6.1	284392.781874469	307046.828331916	335246.382735433	255785.368795212	277469.779553864	368247.711684709	300054.550403392	1
Pp1s10_393V6.1	1483297.33088699	1799744.32020289	1897533.95233919	1976387.13115728	2426645.68217154	2794774.21857829	3316541.58657265	3
Pp1s10_47V6.1	2182082.84299744	1693602.62795433	1480759.89586811	1018317.04400464	837166.866890697	999478.384350399	1415129.86403602	1
Pp1s114_123V6.2	1111072.71164205	1341033.1554853	1227694.37864789	923845.265571678	986033.131760342	761043.724655729	509026.227167629	1
Pp1s114_138V6.1	10575016.0410995	10080784.0010417	9810638.24016313	9094843.85884529	8453170.61837039	11049783.3543783	12547323.9596183	3
Pp1s114_157V6.1	59122.0502571718	98721.4688461488	61908.4053491259	67210.8987561327	76600.9583390607	72205.6412817165	56844.4373157546	1
Pp1s114_95V6.1	516754.999809717	529005.428439386	427778.134151862	514057.055575146	490969.298661268	575288.800149921	732358.160353047	2
Pp1s115_12V6.1	122678.990807889	121658.19377054	135286.668540492	157781.105034963	154919.598259285	100944.089892008	240974.592133658	1
Pp1s115_193V6.1	887917.533707978	850435.946663573	912704.0473857	778695.22690193	716979.447180738	742741.983032644	874897.596799153	2
Pp1s116_33V6.1	318680.002779205	344604.321197385	283271.508989802	268920.499863931	741015.447562355	2109246.96218355	1521009.3320244	1
Pp1s116_53V6.1	1539289.41605887	2057058.62995971	2048064.37467415	2023284.10776702	2673780.10868343	3195526.76397086	3478479.69784213	3
Pp1s118_166V6.1	34331882.0566106	31107180.0107079	30605782.177525	12597079.8260621	11873775.6759148	11119638.0911242	15337289.9268902	3
Pp1s119_57V6.1	2693856.13120595	3096556.44446189	2631922.44027943	1777875.78045968	1939421.95823579	2077825.48901409	1485454.11343752	3
Pp1s11_340V6.1	454649.629506572	421634.805695128	568038.712093114	181012.103089078	249728.02960899	223211.341133419	258840.742272888	1
Pp1s11_357V6.2	214462.206254284	323711.364202774	277141.803354084	257111.590040916	230012.044907116	238140.043876492	145933.982082901	1
Pp1s120_164V6.1	1015080.86825862	1392735.8666153	1263756.56332302	1181113.29609663	1393199.21966324	2772712.88620734	1867452.83377957	1
Pp1s120_21V6.1	1385324.18435456	1244477.68306292	1530113.37070456	1647686.60076725	1914251.69753184	2489894.57774334	2473372.56848781	3
Pp1s122_165V6.1	82182.2912951369	88176.7926303032	96634.9841869168	48844.1202170308	56202.5912087832	42794.5949037296	47769.4657125233	1
Pp1s123_144V6.1	1669657.02914956	1792627.95348026	1281228.23345741	1471126.23179894	1511042.31251639	2406882.56685166	2278241.30644047	3
Pp1s123_43V6.1	9299019.46192619	8883734.48621258	9639506.47721942	4413927.18955583	4311209.75176447	3544063.33232626	5657535.55656973	3
Pp1s123_97V6.1	16498506.9572038	15222549.5520638	19051879.7657728	6729173.34990282	6363485.46682018	8512161.79652451	9556163.59903852	3
Pp1s125_47V6.1	378392.16636524	359856.383095298	241813.986913949	218391.403818134	168046.162481792	270877.712866008	317877.179519362	1
Pp1s125_61V6.1	635355.791861766	574605.766179866	578716.819553818	230994.879844135	237532.837104176	275170.556184268	411625.334747928	1
Pp1s126_81V6.1	3487550.57635844	4230903.89688322	3648255.331182	3865650.3063763	4073233.50618334	3873364.96824157	3516825.52345055	3
Pp1s127_105V6.1	1009075.39213695	1165075.21618466	850328.572101354	983333.859875195	870823.870413722	800233.374122529	594621.016645583	2
Pp1s12_315V6.1	1932689.30172322	2154963.5250162	1968327.31167561	1833578.72518626	1893404.20410805	2336565.73018884	2793039.7879846	3
Pp1s12_371V6.2	54416.8010987923	68364.8989839251	86145.0800258368	63049.2612918665	82352.1315718541	111906.574552173	88616.8816342727	1
Pp1s12_401V6.1	1163010.77264019	1480385.93845045	1830107.8044203	2401901.8248666	2352983.77836636	3541252.2446257	3987119.29025344	3
