Gene	XLOC	TAIR_ID	Annotation	Protoplasts_FPKM	Protonema_FPKM	Gametophores_FPKM	Gametophores_Protoplasts_fold_change	Protonema_Protoplasts_fold_change	Gametophores_Protonema_fold_change
Pp1s7_501V6	XLOC_031812	AT5G60760	P-loop containing nucleoside triphosphate hydrolases superfamily protein	60.0927	29.3421	12.9454	-2.2147502006859137	-1.0342176167589265	-1.180532583926987
Pp1s19_224V6	XLOC_010440	AT1G50660	N/A	2.33062	2.46411	9.14324	1.971991692618657	0	1.8916388289085408
Pp1s19_266V6	XLOC_010447	N/A	N/A	21.7013	5.34358	6.5748	0	-2.0219029458109623	0
Pp1s28_42V6	XLOC_017763	AT4G22380	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	79.9475	95.8415	132.275	0.7264155920476314	0	0
Pp1s28_29V6	XLOC_017760	N/A	N/A	1.55576	1.33613	0.524514	-1.5685663335606277	0	0
Pp1s28_53V6	XLOC_017767	N/A	N/A	7.49914	0.215597	1.19309	-2.6520222811532	0	0
-	XLOC_017766	N/A	N/A	17.0391	1.97348	0.543322	-4.970897859361071	-3.11003533127443	0
Pp1s28_46V6	XLOC_017765	AT4G40060	homeobox protein 16	3.88614	2.92011	1.85259	-1.0687942443430716	0	0
Pp1s28_67V6	XLOC_017769	AT5G50340	ATP-dependent peptidases;nucleotide binding;serine-type endopeptidases;DNA helicases;ATP binding;damaged DNA binding;nucleoside-triphosphatases	6.68404	11.3049	9.72908	0	0.7581559582584876	0
Pp1s22_42V6	XLOC_013473	N/A	N/A	0.0	0.0	6.53673	+Inf	0	+Inf
Pp1s22_40V6	XLOC_013472	AT3G55610	delta 1-pyrroline-5-carboxylate synthase 2	42.2416	53.4712	23.9137	-0.8208271157403123	0	-1.1609246885833413
Pp1s22_38V6	XLOC_013471	N/A	N/A	6.84302	4.64349	40.1427	2.55243258666938	-0.5594236359209176	3.111856222590298
Pp1s22_38V6	XLOC_013470	N/A	N/A	9.58265	2.00238	2.85517	-1.7468480283123327	-2.258708889718386	0
Pp1s22_50V6	XLOC_013477	AT1G72270	N/A	1.01602	2.52172	2.32898	1.1967694491907737	1.3114792931067378	0
Pp1s22_47V6	XLOC_013476	N/A	N/A	2.63299	13.5541	0.0	0	0	-Inf
Pp1s22_44V6	XLOC_013474	AT4G08620	sulphate transporter 1;1	86.5056	181.403	18.1247	-2.2548364137966868	1.0683328802648693	-3.323169294061556
Pp1s98_155V6	XLOC_036018	AT1G14590	Nucleotide-diphospho-sugar transferase family protein	66.0875	33.2078	41.2909	0	-0.9928552734185089	0
Pp1s98_156V6	XLOC_036018	AT2G04560	transferases, transferring glycosyl groups	66.0875	33.2078	41.2909	0	-0.9928552734185089	0
Pp1s98_167V6	XLOC_036019	AT2G18750	Calmodulin-binding protein	54.0229	53.4114	25.7481	-1.069105110066356	0	-1.052681723034437
-	XLOC_002049	N/A	N/A	4.18006	0.879127	10.003	1.2588371877925433	-2.2493801512808704	3.5082173390734135
