Entry	KEGG	Entry name	Protein names	Gene names	Gene ontology IDs
P36505	PHYPADRAFT_222399	PHY1_PHYPA	Phytochrome 1	PHY1 PHYPADRAFT_222399	GO:0009903; GO:0005737; GO:0009584; GO:0016020; GO:0000155; GO:0009881; GO:0018298; GO:0017006; GO:0009585; GO:0006355; GO:0006351
P34915	PhpapaCp031	RBL_PHYPA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	GO:0009507; GO:0000287; GO:0004497; GO:0009853; GO:0019253; GO:0016984
P20866	PHYPADRAFT_124625PHYPADRAFT_163091;	CB2_PHYPA	Chlorophyll a-b binding protein, chloroplastic (LHCII type I CAB) (LHCP)	PHYPADRAFT_124625 PHYPADRAFT_163091	GO:0016168; GO:0009535; GO:0016021; GO:0046872; GO:0009765; GO:0009522; GO:0009523; GO:0018298
P34923	PHYPADRAFT_226280	G3PC_PHYPA	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic (EC 1.2.1.12)	GAPC PHYPADRAFT_226280	GO:0051287; GO:0050661; GO:0005737; GO:0006006; GO:0004365; GO:0006096
Q8MFA1	PhpapaCp041	RR14_PHYPA	30S ribosomal protein S14, chloroplastic	rps14	GO:0009507; GO:0019843; GO:0005840; GO:0003735; GO:0006412
A9TKY8	PHYPADRAFT_108355	CSPL1_PHYPA	CASP-like protein 1U4 (PpCASPL1U4)	PHYPADRAFT_108355	GO:0016021; GO:0005886
A9SEY7	PHYPADRAFT_232936	CSPL2_PHYPA	CASP-like protein 1U3 (PpCASPL1U3)	PHYPADRAFT_232936	GO:0016021; GO:0005886
A9STS7	PHYPADRAFT_58644	CSPL3_PHYPA	CASP-like protein 1U2 (PpCASPL1U2)	PHYPADRAFT_58644	GO:0016021; GO:0005886
P80073	PHYPADRAFT_100368	MYB2_PHYPA	Myb-related protein Pp2	PP2 PHYPADRAFT_100368	GO:0003677; GO:0003682; GO:0005634; GO:0006355; GO:0006351
Q9M630	PHYPADRAFT_184189	HBL0_PHYPA	Non-symbiotic hemoglobin 0 (Non-vascular plant hemoglobin Glb0)	GLB0 PHYPADRAFT_184189	GO:0020037; GO:0005506; GO:0019825; GO:0005344
Q00761	PhpapaCp030	ACCD_PHYPA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD ycf11 zfpA	GO:0005524; GO:0003989; GO:0009317; GO:0009570; GO:0006633; GO:2001295; GO:0008270
Q8MFA3	PhpapaCp039	PSAA_PHYPA	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	GO:0051539; GO:0016168; GO:0009535; GO:0009055; GO:0016021; GO:0000287; GO:0016491; GO:0015979; GO:0009522; GO:0018298
Q8MFA2	PhpapaCp040	PSAB_PHYPA	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	GO:0051539; GO:0016168; GO:0009535; GO:0009055; GO:0016021; GO:0000287; GO:0016491; GO:0015979; GO:0009522; GO:0018298
Q6YXL3	PhpapaCp026	CYF_PHYPA	Cytochrome f	petA	GO:0009535; GO:0009055; GO:0020037; GO:0031361; GO:0005506; GO:0055114; GO:0015979
Q6YXQ6	PhpapaCp072	NU5C_PHYPA	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit 5) (NADH-plastoquinone oxidoreductase subunit 5)	ndhF	GO:0042773; GO:0008137; GO:0009535; GO:0016021; GO:0048038; GO:0006810
A9RGD8	PHYPADRAFT_202121	GT47A_PHYPA	Probable glucuronosyltransferase 47 A (PpGT47A) (EC 2.4.-.-)	GT47A PHYPADRAFT_202121	GO:0000139; GO:0071555; GO:0010417; GO:0080116; GO:0016021; GO:0009834; GO:0045492
Q9SXW9	PHYPADRAFT_170637	PLAS_PHYPA	Plastocyanin, chloroplastic	PETE PHYPADRAFT_170637	GO:0009535; GO:0005507; GO:0009055; GO:0055114
Q6YXN1	PhpapaCp009PHYPADRAFT_119144;	PSBH_PHYPA	Photosystem II reaction center protein H (PSII-H) (Photosystem II 10 kDa phosphoprotein)	psbH PHYPADRAFT_119144	GO:0009535; GO:0016021; GO:0042301; GO:0015979; GO:0009523; GO:0050821
P60315	PHYPADRAFT_168194	RPOA_PHYPA	DNA-directed RNA polymerase subunit alpha, chloroplastic (EC 2.7.7.6) (Plastid-encoded RNA polymerase subunit alpha) (PEP) (RNA polymerase subunit alpha)	rpoA PHYPADRAFT_168194	GO:0003677; GO:0006281; GO:0003899; GO:0009507; GO:0006351
A9S848	PHYPADRAFT_182225	CSPL7_PHYPA	CASP-like protein 4C2 (PpCASPL4C2)	PHYPADRAFT_182225	GO:0016021; GO:0005886
A9T836	PHYPADRAFT_192523	CSPL8_PHYPA	CASP-like protein 4C3 (PpCASPL4C3)	PHYPADRAFT_192523	GO:0016021; GO:0005886
A9STU1	PHYPADRAFT_135270	CSPL9_PHYPA	CASP-like protein 4C1 (PpCASPL4C1)	PHYPADRAFT_135270	GO:0016021; GO:0005886
A9SB31	PHYPADRAFT_163904	CSPLB_PHYPA	CASP-like protein UU4 (PpCASPLUU4)	PHYPADRAFT_163904	GO:0016021; GO:0005886
A9S1T8	PHYPADRAFT_73452	CSPLA_PHYPA	CASP-like protein UU5 (PpCASPLUU5)	PHYPADRAFT_73452	GO:0016021; GO:0005886
