Pp1s1_461V6	PSBQ, PSBQ-1, PSBQA
Pp1s132_186V6	PSB29, THF1
Pp1s135_79V6	OE23, OEE2, PSBP-1, PSII-P
Pp1s172_23V6	PSB29, THF1
Pp1s182_26V6	PSBQ, PSBQ-1, PSBQA_
Pp1s27_266V6	PSBH
Pp1s41_264V6	PSBR
Pp1s41_281V6	PSBQ, PSBQ-2, PSII-Q
Pp1s60_65V6	MSP-1, OE33, OEE1, OEE33, PSBO-1, PSBO1
Pp1s63_71V6	OE23, OEE2, PSBP-1, PSII-P
Pp1s75_141V6	OE23, OEE2, PSBP-1, PSII-P_
Pp1s76_196V6	LHB1B2, LHCB1.5
Pp1s125_61V6	_
Pp1s131_184V6	PSB27
Pp1s24_39V6	HCF136
Pp1s88_182V6	PPD1
