Pp1s424_33V6	TAPX
Pp1s12_401V6	DHAR3
Pp1s115_12V6	DHAR2
Pp1s95_45V6	ATPRX Q_
Pp1s233_104V6	ATPRX Q__
Pp1s30_253V6	ATPRX Q___
Pp1s1_230V6	_
Pp1s52_248V6	__
Pp1s30_345V6	At5g06290
Pp1s257_45V6	At5g06290
Pp1s8_193V6	ATHX, ATHP
Pp1s91_16V6	ZEP, ABA1, IBS3, LOS6, NPQ2
Pp1s161_120V6	VDE1, AVDE1, NPQ1, VXDE
